t_s,parent_cpu,worker_cpu_mean,worker_cpu_p90,worker_cpu_max,worker_cpu_sum,tree_cpu,system_cpu,children,parent_threads,parent_rss_mb,tree_rss_mb,mem_available_mb,parent_ctx_vol,parent_ctx_invol,gpu_util,gpu_mem_util,gpu_mem_used_mb,gpu_power_w,gpu_clock_sm
2.0,157.9,0.0,0.0,0.0,0.0,157.9,30.4,17,45,754.9,8327.1,86967.9,123,59,0,0,1,2.47,195
4.0,86.9,24.5,28.5,29.0,416.5,503.4,15.6,17,61,1328.2,9223.1,86087.8,507,59,0,0,526,54.08,2475
6.0,89.9,22.18,27.5,29.0,377.0,466.9,14.4,17,61,1329.5,9227.7,86076.9,894,59,7,0,672,83.08,2647
8.0,86.4,21.53,25.0,26.5,366.0,452.4,14.2,17,61,1330.0,9233.2,86063.3,1322,59,7,0,672,83.32,2640
10.0,88.4,21.88,26.0,26.0,372.0,460.4,14.6,17,61,1330.2,9238.6,86048.9,1750,59,7,0,672,82.85,2640
12.0,86.9,21.82,27.0,28.5,371.0,457.9,14.4,17,61,1330.7,9243.5,86036.5,2075,59,7,0,672,82.13,2640
14.0,87.9,21.65,27.5,29.5,368.0,455.9,13.8,17,61,1330.7,9245.5,86030.4,2376,59,7,0,672,84.54,2655
16.0,83.9,19.12,22.0,23.0,325.0,408.9,12.9,17,61,1330.7,9246.0,86029.2,2776,59,7,0,672,83.90,2640
18.0,86.4,17.74,21.0,21.5,301.5,387.9,12.2,17,61,1330.7,9247.6,86020.8,3141,59,7,0,672,83.55,2647
20.0,84.4,17.29,21.0,23.0,294.0,378.4,11.9,17,61,1330.7,9247.6,86015.7,3402,59,7,0,672,84.25,2647
22.0,88.9,15.5,19.0,22.0,263.5,352.4,10.5,17,61,1331.5,9248.6,86010.5,3718,59,7,0,672,84.54,2647
24.0,80.9,14.26,18.5,19.0,242.5,323.4,10.3,17,61,1333.3,9253.0,86003.4,4100,59,8,0,672,84.61,2647
26.0,81.9,14.32,18.0,20.5,243.5,325.4,10.5,17,61,1338.4,9261.5,85988.7,4540,59,8,0,672,84.16,2647
28.0,85.9,15.56,23.0,25.0,264.5,350.4,10.7,17,61,1345.1,9274.3,85983.9,4956,59,7,0,672,83.71,2640
30.0,88.9,17.68,27.5,29.5,300.5,389.4,11.8,17,61,1350.5,9284.9,85974.1,5364,59,7,0,672,84.35,2640
32.0,85.9,19.26,26.5,26.5,327.5,413.4,12.9,17,61,1354.7,9292.1,85962.1,5778,59,8,0,672,84.50,2640
34.0,80.4,20.41,26.0,28.5,347.0,427.4,12.9,17,61,1356.7,9296.7,85954.5,6129,59,8,0,672,83.92,2632
36.0,78.9,21.38,27.5,28.0,363.5,442.4,13.5,17,61,1359.0,9301.9,85951.6,6373,59,8,0,672,83.77,2647
38.1,85.9,23.44,31.0,33.5,398.5,484.4,15.2,17,61,1359.0,9303.4,85949.0,6669,59,7,0,672,84.30,2647
40.1,88.9,19.5,27.5,29.5,331.5,420.4,13.3,17,61,1359.0,9304.5,85955.1,6928,59,7,0,672,84.85,2640
42.1,85.4,18.26,25.5,26.5,310.5,395.9,12.3,17,61,1359.0,9305.2,85955.6,7312,59,7,0,672,84.62,2647
44.1,84.9,17.41,26.5,26.5,296.0,380.9,11.7,17,61,1359.3,9306.8,85945.7,7530,59,8,0,672,85.18,2670
46.1,90.4,16.68,21.0,21.5,283.5,373.9,11.6,17,61,1359.3,9309.1,85945.9,7806,59,8,0,672,85.07,2670
48.1,85.9,16.47,21.5,24.5,280.0,365.9,11.3,17,61,1360.9,9311.2,85939.8,8230,59,8,0,672,84.90,2640
50.1,83.9,14.56,20.5,21.0,247.5,331.4,10.4,17,61,1360.9,9312.7,85940.2,8550,59,7,0,672,84.37,2640
52.1,82.9,15.91,21.0,25.0,270.5,353.4,10.8,17,61,1367.3,9319.7,85937.3,9031,59,8,0,672,84.74,2640
54.1,84.4,16.44,25.0,25.5,279.5,363.9,10.9,17,61,1374.0,9326.9,85935.2,9535,59,8,0,672,84.79,2647
56.1,91.4,17.76,24.0,24.0,302.0,393.4,12.2,17,61,1378.9,9331.8,85927.3,9893,59,7,0,672,84.94,2647
58.1,90.9,18.53,23.0,25.5,315.0,405.9,12.4,17,61,1384.1,9338.7,85915.9,10390,59,8,0,672,84.17,2640
60.1,83.9,20.09,24.5,26.5,341.5,425.4,13.4,17,61,1384.3,9339.5,85912.2,10713,59,7,0,672,84.44,2640
62.1,90.4,20.21,25.0,25.0,343.5,433.9,13.6,17,61,1384.3,9339.8,85909.1,11108,59,7,0,672,84.21,2640
64.1,92.4,18.88,23.5,23.5,321.0,413.4,13.2,17,61,1384.3,9340.0,85910.9,11543,59,7,0,672,86.35,2640
66.1,89.4,18.32,24.0,24.5,311.5,400.9,12.6,17,61,1384.3,9340.5,85911.7,11952,59,7,0,672,83.78,2640
68.1,85.4,17.94,22.5,23.0,305.0,390.4,12.4,17,61,1388.2,9344.9,85911.0,12356,59,7,0,672,84.76,2640
70.1,80.9,17.26,23.5,24.0,293.5,374.4,11.6,17,61,1388.4,9345.4,85905.8,12709,59,7,0,672,84.43,2640
72.1,78.9,16.26,22.0,22.5,276.5,355.4,11.2,17,61,1389.5,9346.7,85902.2,13080,59,8,0,672,84.70,2647
74.1,78.4,17.11,25.0,27.0,239.5,317.9,11.2,14,61,1393.1,7854.9,86754.8,13460,59,8,0,672,84.71,2655
76.1,69.9,16.95,24.5,28.0,186.5,256.4,6.3,11,61,1397.7,6372.3,87600.4,13654,59,8,0,672,83.36,2655
78.1,68.9,16.36,25.0,27.0,180.0,248.9,4.5,11,61,1397.7,6372.8,87598.8,13820,59,8,0,672,81.68,2655
80.1,65.9,14.72,23.0,23.0,132.5,198.4,8.9,9,61,1401.6,5386.3,88167.0,13995,59,7,0,672,80.72,2655
82.1,61.9,13.39,20.5,20.5,120.5,182.4,8.7,9,61,1401.8,5386.9,88170.2,14081,59,8,0,672,81.24,2670
84.1,59.9,13.92,20.5,20.5,83.5,143.4,7.7,6,61,1409.1,3902.9,89023.6,14242,59,6,0,672,78.90,2677
86.1,57.5,11.6,17.5,17.5,58.0,115.5,4.0,5,61,1412.7,3412.6,89307.9,14339,59,6,0,672,76.72,2677
88.1,44.0,8.0,16.0,16.0,16.0,60.0,3.2,2,61,1416.0,1923.2,90161.4,14391,59,6,0,672,73.89,2670
90.1,36.5,7.5,15.0,15.0,15.0,51.5,1.6,2,61,1416.0,1923.2,90160.9,14440,59,6,0,672,72.60,2677
92.1,34.0,7.75,15.5,15.5,15.5,49.5,1.7,2,61,1417.6,1925.0,90167.7,14485,59,6,0,672,73.50,2677
