epoch,lanes,gpu_util,gpu_power_w
1787252547,30,21,44.02
1787252548,30,21,43.88
1787252549,30,22,43.94
1787252550,30,22,44.01
1787252551,30,22,44.06
1787252552,30,21,43.95
1787252553,30,22,43.85
1787252554,30,22,43.93
1787252555,30,21,45.32
1787252556,30,21,45.12
1787252557,30,22,44.91
1787252558,30,21,45.00
1787252559,30,21,44.71
1787252560,30,20,44.66
1787252561,30,21,44.62
1787252562,30,21,44.60
1787252563,30,21,44.47
1787252564,30,21,44.37
1787252566,30,22,44.31
1787252567,30,21,44.26
1787252568,30,21,43.95
1787252569,30,21,43.92
1787252570,30,21,43.86
1787252571,30,22,43.80
1787252572,30,21,43.79
1787252573,30,22,43.68
1787252574,30,22,43.60
1787252575,30,21,43.59
1787252576,30,21,43.45
1787252577,30,21,43.39
1787252578,30,22,43.39
1787252579,30,22,43.24
1787252580,30,21,43.25
1787252581,30,21,43.14
1787252582,30,21,43.05
1787252583,30,22,42.97
1787252584,30,23,43.01
1787252585,30,22,43.03
1787252586,30,21,42.92
1787252587,30,21,42.75
1787252588,30,21,42.79
1787252589,30,21,42.76
1787252591,30,22,42.75
1787252592,30,21,42.65
1787252593,30,22,42.62
1787252594,30,21,42.37
1787252595,30,21,42.16
1787252596,30,21,42.19
1787252597,30,21,42.16
1787252598,30,21,42.16
1787252599,30,21,42.19
1787252600,30,21,42.17
1787252601,30,21,42.10
1787252602,30,21,42.07
1787252603,30,21,42.00
1787252604,30,21,42.07
1787252605,30,21,42.10
1787252606,30,21,42.03
1787252607,30,21,42.00
1787252608,30,21,41.08
1787252609,30,21,40.89
1787252610,30,21,40.86
1787252611,30,21,40.86
1787252612,30,21,40.84
1787252613,30,21,40.79
1787252614,30,22,40.91
1787252615,30,21,40.98
1787252617,30,21,40.92
1787252618,30,21,40.93
1787252619,30,22,40.98
1787252620,30,22,41.05
1787252621,30,21,41.07
1787252622,30,21,41.10
1787252623,30,21,41.11
1787252624,30,21,41.05
1787252625,30,21,41.09
1787252626,30,22,41.12
1787252627,30,21,41.18
1787252628,30,21,41.17
1787252629,30,21,41.27
1787252630,30,21,41.30
1787252631,30,21,41.26
1787252632,30,22,41.24
1787252633,30,21,41.29
1787252634,30,21,41.28
1787252635,30,21,41.33
1787252636,30,21,41.35
1787252637,30,21,41.37
1787252638,30,22,41.36
1787252639,30,22,41.35
1787252640,30,21,41.40
1787252642,30,22,41.46
1787252643,30,22,41.47
1787252644,30,21,41.39
1787252645,30,22,41.37
1787252646,30,21,41.39
1787252647,30,21,41.42
1787252648,30,21,41.37
1787252649,30,21,41.39
1787252650,30,21,41.49
1787252651,30,21,41.42
1787252652,30,21,41.47
1787252653,30,21,41.52
1787252654,30,22,41.54
1787252655,30,21,41.51
1787252656,30,21,41.45
1787252657,30,21,41.52
1787252658,30,21,41.48
1787252659,30,22,41.49
1787252660,30,21,41.55
1787252661,30,21,41.64
1787252662,30,21,41.63
1787252663,30,21,41.69
1787252664,30,21,41.82
1787252665,30,22,41.76
1787252666,30,21,41.71
1787252668,30,21,41.73
1787252669,30,21,41.65
1787252670,30,21,41.72
1787252671,30,21,41.74
1787252672,30,21,41.70
1787252673,30,21,41.66
1787252674,30,21,41.65
1787252675,30,21,41.64
1787252676,30,21,41.61
1787252677,30,21,41.61
1787252678,30,21,41.65
1787252679,30,21,41.66
1787252680,30,21,41.67
1787252681,30,21,41.62
1787252682,30,21,41.66
1787252683,30,21,41.76
1787252684,30,22,41.73
1787252685,30,21,41.83
1787252686,30,21,41.78
1787252687,30,21,41.71
1787252688,30,21,41.71
1787252689,30,22,41.76
1787252690,30,21,41.75
1787252691,30,22,41.74
1787252693,30,21,41.75
1787252694,30,22,41.74
1787252695,30,21,41.75
1787252696,30,21,41.86
1787252697,30,21,41.85
1787252698,30,21,41.84
1787252699,29,21,41.90
1787252700,29,21,41.87
1787252701,29,21,41.86
1787252702,29,21,41.84
1787252703,29,21,41.84
1787252704,29,22,42.03
1787252705,29,22,42.13
1787252706,29,22,42.12
1787252707,29,21,42.02
1787252708,29,21,41.96
1787252709,29,21,42.04
1787252710,29,21,42.05
1787252711,29,21,42.04
1787252712,29,21,42.08
